Year,Won,Lost,Rushing_Attempts,Rushing_Yards,Coach
1988,5,11,13,6, Chuck Noll
1989,9,7,11,18, Chuck Noll
1990,9,7,14,13, Chuck Noll
1991,7,9,16,17, Chuck Noll
1992,11,5,2,4, Bill Cowher
1993,9,7,5,6, Bill Cowher
1994,12,4,2,1, Bill Cowher
1995,11,5,5,2, Bill Cowher
1996,10,6,2,2, Bill Cowher
1997,11,5,1,1, Bill Cowher
1998,7,9,8,7, Bill Cowher
1999,6,10,5,10, Bill Cowher
2000,9,7,2,4,Bill Cowher
2001,13,3,1,1, Bill Cowher
2002,10,5,3,9, Bill Cowher
2003,6,10,16,31, Bill Cowher
2004,15,1,1,2, Bill Cowher
2005,11,5,1,5, Bill Cowher
2006,8,8,14,10, Bill Cowher
2007,10,6,3,3, Mike Tomlin
2008,12,4,9,23, Mike Tomlin
